method,type,consequence,n_total,n_pathogenic,n_valid,auroc,auroc_lo,auroc_hi,auprc
Evo2 probe,scalar,Nonsense,36050,35454,36050,0.8065249403423966,0.7831684045093679,0.8271174172459095,0.9943875368881484
Evo2 probe,scalar,Splice Donor,11855,11693,11855,0.8279222664609933,0.7848235551450541,0.8657440064824743,0.9960526158653624
Evo2 probe,scalar,Splice Acceptor,9828,9655,9828,0.8762730383191194,0.8416326659244718,0.9105639742233222,0.9959374853769942
Evo2 probe,scalar,Intronic,254737,1723,254737,0.939599961161906,0.9309624629200044,0.9482290510677036,0.6704780188308403
Evo2 probe,scalar,Initiator Codon,1363,1191,1363,0.8720637338175854,0.8398051126088709,0.901989377299688,0.970499255682102
Evo2 probe,scalar,5' UTR,15232,82,15232,0.755726475086533,0.6790462071128271,0.8276111139748569,0.2253086972096596
Evo2 probe,scalar,3' UTR,16679,27,16679,0.8202529336927608,0.7205576751035175,0.907819143274994,0.0354599748066931
Evo2 probe,scalar,Non-coding Transcript,67267,108,67267,0.8345111628402029,0.775150932828604,0.8914865633932153,0.3080230189823959
Evo2 probe,scalar,Missense (canonical),117653,35535,117653,0.9489210332814152,0.9477059077037808,0.9501437784885496,0.8863869298091611
Evo2 probe,scalar,Missense (non-canonical),7439,766,7439,0.9764366475868812,0.9699560152343544,0.9823781094899968,0.8716657286197509
Evo2 probe,scalar,Other,3498,260,3498,0.8828633534470471,0.848384421922709,0.90978426248239,0.6756696760553589
Evo2 loss,scalar,Overall,833970,96793,833970,0.9401135026709738,0.939277400787865,0.9410215749988114,0.7848008999512679
Evo2 loss,scalar,Missense,125092,36301,125092,0.9255077411464735,0.9240864467014637,0.9268185681292875,0.82540895007337
Evo2 loss,scalar,Synonymous,292369,299,292369,0.6703169098716772,0.6425407258392908,0.6996054108214402,0.002037698711439633
Evo2 loss,scalar,Nonsense,36050,35454,36050,0.8086704560555449,0.7883212981577445,0.8281848604047115,0.994961592748809
Evo2 loss,scalar,Splice Donor,11855,11693,11855,0.7624509968504951,0.7138509913652757,0.8106594319569792,0.9924918116138748
Evo2 loss,scalar,Splice Acceptor,9828,9655,9828,0.8000062862394218,0.7586068161010735,0.8400386554541679,0.9927206781984874
Evo2 loss,scalar,Intronic,254737,1723,254737,0.8005981752821414,0.787163517199922,0.8139986452850823,0.05983364177908692
Evo2 loss,scalar,Initiator Codon,1363,1191,1363,0.4998462304493,0.45227343090321276,0.5456294754266859,0.8750089112202346
Evo2 loss,scalar,5' UTR,15232,82,15232,0.5257590759075907,0.47055722185271576,0.5834503904821627,0.005708804383946307
Evo2 loss,scalar,3' UTR,16679,27,16679,0.7209800179713703,0.6494721388255073,0.7885544806874908,0.004137720499045451
Evo2 loss,scalar,Non-coding Transcript,67267,108,67267,0.5605197284719017,0.5120640265676905,0.6105464360163882,0.017139160750586448
Evo2 loss,scalar,Missense (canonical),117653,35535,117653,0.9230908138371907,0.921558760336122,0.9246221089593093,0.8270169676923103
Evo2 loss,scalar,Missense (non-canonical),7439,766,7439,0.939313624641447,0.9298244890007177,0.9476849441554992,0.7360995223667176
Evo2 loss,scalar,Other,3498,260,3498,0.8682246876039341,0.8401894243327575,0.8925917994855453,0.5052275928648114
Covpool probe,bidir_cov,Overall,833970,96793,833970,0.9968364013830402,0.9967136753919968,0.9969642257172219,0.9809647246778684
Covpool probe,bidir_cov,Missense,125092,36301,125092,0.9713303815922599,0.9704512977371761,0.972080510229232,0.9348779955486778
Covpool probe,bidir_cov,Synonymous,292369,299,292369,0.9611768173502184,0.948397274242463,0.9732632295114455,0.6354529736500066
Covpool probe,bidir_cov,Nonsense,36050,35454,36050,0.9002417538483556,0.8852363179975824,0.9140260585992134,0.9971676673878205
Covpool probe,bidir_cov,Splice Donor,11855,11693,11855,0.9201022981988802,0.8938201693814561,0.9440091338145074,0.9981257222576979
Covpool probe,bidir_cov,Splice Acceptor,9828,9655,9828,0.9280515950584171,0.902481751952304,0.9512047438056441,0.9978708870577854
Covpool probe,bidir_cov,Intronic,254737,1723,254737,0.9835342063270354,0.9797947449468913,0.9868847448133553,0.8082135735892663
Covpool probe,bidir_cov,Initiator Codon,1363,1191,1363,0.9337326460078496,0.9119162719832897,0.9531598585826465,0.9873750007848401
Covpool probe,bidir_cov,5' UTR,15232,82,15232,0.9445938984142316,0.9180434688736435,0.965114805928041,0.4104800494558212
Covpool probe,bidir_cov,3' UTR,16679,27,16679,0.9144747377692368,0.8319067507259212,0.9766590290054336,0.09898238831249179
Covpool probe,bidir_cov,Non-coding Transcript,67267,108,67267,0.944146023284709,0.9192347666380939,0.967309491599157,0.4556465382684064
Covpool probe,bidir_cov,Other,390,140,390,0.9694571428571428,0.9525218620739854,0.9832140561343753,0.9375680355886595
